fd(A, B)
a a
a ab
a abc
a abcd
a abcde
a abce
a abd
a abde
a abe
a ac
a acd
a acde
a ace
a ad
a ade
a ae
a b
a bc
a bcd
a bcde
a bce
a bd
a bde
a be
a c
a cd
a cde
a ce
a d
a de
a e
ab a
ab ab
ab abc
ab abcd
ab abcde
ab abce
ab abd
ab abde
ab abe
ab ac
ab acd
ab acde
ab ace
ab ad
ab ade
ab ae
ab b
ab bc
ab bcd
ab bcde
ab bce
ab bd
ab bde
ab be
ab c
ab cd
ab cde
ab ce
ab d
ab de
ab e
abc a
abc ab
abc abc
abc abcd
abc abcde
abc abce
abc abd
abc abde
abc abe
abc ac
abc acd
abc acde
abc ace
abc ad
abc ade
abc ae
abc b
abc bc
abc bcd
abc bcde
abc bce
abc bd
abc bde
abc be
abc c
abc cd
abc cde
abc ce
abc d
abc de
abc e
abcd a
abcd ab
abcd abc
abcd abcd
abcd abcde
abcd abce
abcd abd
abcd abde
abcd abe
abcd ac
abcd acd
abcd acde
abcd ace
abcd ad
abcd ade
abcd ae
abcd b
abcd bc
abcd bcd
abcd bcde
abcd bce
abcd bd
abcd bde
abcd be
abcd c
abcd cd
abcd cde
abcd ce
abcd d
abcd de
abcd e
abcde a
abcde ab
abcde abc
abcde abcd
abcde abcde
abcde abce
abcde abd
abcde abde
abcde abe
abcde ac
abcde acd
abcde acde
abcde ace
abcde ad
abcde ade
abcde ae
abcde b
abcde bc
abcde bcd
abcde bcde
abcde bce
abcde bd
abcde bde
abcde be
abcde c
abcde cd
abcde cde
abcde ce
abcde d
abcde de
abcde e
abce a
abce ab
abce abc
abce abcd
abce abcde
abce abce
abce abd
abce abde
abce abe
abce ac
abce acd
abce acde
abce ace
abce ad
abce ade
abce ae
abce b
abce bc
abce bcd
abce bcde
abce bce
abce bd
abce bde
abce be
abce c
abce cd
abce cde
abce ce
abce d
abce de
abce e
abd a
abd ab
abd abc
abd abcd
abd abcde
abd abce
abd abd
abd abde
abd abe
abd ac
abd acd
abd acde
abd ace
abd ad
abd ade
abd ae
abd b
abd bc
abd bcd
abd bcde
abd bce
abd bd
abd bde
abd be
abd c
abd cd
abd cde
abd ce
abd d
abd de
abd e
abde a
abde ab
abde abc
abde abcd
abde abcde
abde abce
abde abd
abde abde
abde abe
abde ac
abde acd
abde acde
abde ace
abde ad
abde ade
abde ae
abde b
abde bc
abde bcd
abde bcde
abde bce
abde bd
abde bde
abde be
abde c
abde cd
abde cde
abde ce
abde d
abde de
abde e
abe a
abe ab
abe abc
abe abcd
abe abcde
abe abce
abe abd
abe abde
abe abe
abe ac
abe acd
abe acde
abe ace
abe ad
abe ade
abe ae
abe b
abe bc
abe bcd
abe bcde
abe bce
abe bd
abe bde
abe be
abe c
abe cd
abe cde
abe ce
abe d
abe de
abe e
ac a
ac ab
ac abc
ac abcd
ac abcde
ac abce
ac abd
ac abde
ac abe
ac ac
ac acd
ac acde
ac ace
ac ad
ac ade
ac ae
ac b
ac bc
ac bcd
ac bcde
ac bce
ac bd
ac bde
ac be
ac c
ac cd
ac cde
ac ce
ac d
ac de
ac e
acd a
acd ab
acd abc
acd abcd
acd abcde
acd abce
acd abd
acd abde
acd abe
acd ac
acd acd
acd acde
acd ace
acd ad
acd ade
acd ae
acd b
